Platform,Tier,Task ID,Task Name,Category,Description,Premium Task
"Windows 365","Pro","w365-export-connection-report","Export Connection Quality Report","Monitoring","Export Cloud PC connection quality metrics to CSV","Yes"
"Windows 365","Pro","w365-reprovision","Reprovision Cloud PC","Cloud PC Management","Rebuild existing Cloud PC","No"
"Windows 365","Pro","w365-resize","Resize Cloud PC","Cloud PC Management","Change Cloud PC size/SKU","No"
"Windows 365","Pro","w365-restart","Restart Cloud PC","Cloud PC Management","Reboot Cloud PC","No"
"Windows 365","Pro","w365-troubleshoot","Run Cloud PC Diagnostics","Monitoring","Collect diagnostic data","No"
"Windows 365","Pro","w365-bulk-provision","Bulk Provision Cloud PCs","Provisioning","Create multiple Cloud PCs from CSV","No"
"Windows 365","Pro","w365-set-grace","Set Grace Period","Provisioning","Configure grace period before deprovision","No"
"Windows 365","Pro","w365-create-policy","Create Provisioning Policy","Provisioning","New Cloud PC provisioning policy","No"
"Windows 365","Pro","w365-assign-policy","Assign Provisioning Policy","Provisioning","Assign policy to group","No"
"Windows 365","Pro","w365-upload-image","Upload Custom Image","Images","Upload custom OS image","No"
"Windows 365","Pro","w365-delete-image","Delete Custom Image","Images","Remove custom image","No"
"Windows 365","Pro","w365-export-images","Export Image Inventory","Images","List all available images","No"
"Windows 365","Pro","w365-set-user-settings","Configure User Settings","User Settings","Set user self-service options","No"
"Windows 365","Pro","w365-export-audit","Export Audit Logs","Monitoring","Cloud PC activity audit trail","No"
"Windows 365","Pro","w365-health-check","Health Check Report","Monitoring","System health status","No"
"Windows 365","Pro","w365-rename","Rename Cloud PC","Cloud PC Management","Change Cloud PC display name","No"
"Windows 365","Pro","w365-snapshot","Create Recovery Point","Cloud PC Management","Create Cloud PC snapshot","No"
"Windows 365","Pro","w365-restore-point","Restore from Snapshot","Cloud PC Management","Restore Cloud PC to snapshot","No"
"Windows 365","Pro","w365-network-config","Configure Network Settings","Provisioning","Update Cloud PC networking","No"
"Windows 365","Pro","w365-license-report","Export License Usage","Monitoring","Cloud PC license consumption","No"
"Windows 365","Pro","w365-set-retention","Set Snapshot Retention","User Settings","Configure snapshot retention policy","No"
"Windows 365","Pro","w365-performance-report","Export Performance Metrics","Monitoring","Cloud PC performance data","No"
"Windows 365","Pro","w365-bulk-resize","Bulk Resize Cloud PCs","Cloud PC Management","Resize multiple Cloud PCs","No"
"Windows 365","Pro","w365-region-config","Configure Region Settings","Provisioning","Set Azure region preferences","No"
"Windows 365","Pro","w365-gallery-image","Use Gallery Image","Images","Deploy from Azure gallery","No"
"Windows 365","Pro","w365-network-check","Test Network Connection","Monitoring","Verify Cloud PC network health","No"
"Windows Server","Pro","ws-export-server-inventory","Export Server Inventory","Server Management","Export comprehensive server inventory from multiple servers to CSV","Yes"
"Windows Server","Pro","ws-export-installed-roles","Export Installed Roles and Features","Roles & Features","Export installed Windows Server roles and features to CSV","Yes"
"Windows Server","Pro","ws-export-event-logs","Export Event Logs","Event Logs","Export recent event logs from a Windows Server to CSV","Yes"
"Windows Server","Pro","ws-export-services","Export Services Status","Services","Export Windows services status from a server to CSV","Yes"
"Windows Server","Pro","ws-export-disk-usage","Export Disk Usage","Storage","Export disk usage information from a server to CSV","Yes"
"Windows Server","Pro","ws-install-role","Install Server Role/Feature","Roles & Features","Install a Windows Server role or feature with management tools","Yes"
"Windows Server","Pro","ws-remove-role","Remove Server Role/Feature","Roles & Features","Uninstall a Windows Server role or feature","Yes"
"Windows Server","Pro","ws-export-features","Export Available Features List","Roles & Features","Export list of all available Windows Server roles and features","Yes"
"Windows Server","Pro","ws-restart-server","Restart Windows Server","Server Management","Reboot a Windows Server with optional force and delay","Yes"
"Windows Server","Pro","ws-shutdown-server","Shutdown Windows Server","Server Management","Power off a Windows Server gracefully or forcefully","Yes"
"Windows Server","Pro","ws-rename-server","Rename Windows Server","Server Management","Change the computer name of a Windows Server","Yes"
"Windows Server","Pro","ws-list-services","List All Services","Services","Export complete list of Windows services with status","Yes"
"Windows Server","Pro","ws-start-service","Start Windows Service","Services","Start a stopped Windows service remotely","Yes"
"Windows Server","Pro","ws-stop-service","Stop Windows Service","Services","Stop a running Windows service remotely","Yes"
"Windows Server","Pro","ws-restart-service","Restart Windows Service","Services","Restart a Windows service (stop then start)","Yes"
"Windows Server","Pro","ws-set-service-startup","Set Service Startup Type","Services","Configure Windows service startup behavior","Yes"
"Windows Server","Pro","ws-clear-eventlog","Clear Event Log","Event Logs","Clear a Windows event log (Application, System, etc.)","Yes"
"Windows Server","Pro","ws-search-eventlog","Search Event Log for Pattern","Event Logs","Search Windows event logs for specific patterns, event IDs, or keywords","Yes"
"Windows Server","Pro","ws-create-share","Create SMB File Share","File Sharing","Create a new SMB network file share with custom permissions","Yes"
"Windows Server","Pro","ws-remove-share","Remove SMB File Share","File Sharing","Delete an existing SMB network file share","Yes"
"Windows Server","Pro","ws-export-shares","Export All File Shares","File Sharing","Export inventory of all SMB file shares to CSV","Yes"
"Windows Server","Pro","ws-set-timezone","Set Server Time Zone","Server Management","Configure the time zone settings for a Windows Server","Yes"
"Windows Server","Pro","ws-configure-firewall","Configure Firewall Rule","Security & Networking","Create a new Windows Firewall rule to allow or block traffic","Yes"
"Windows Server","Pro","ws-export-firewall","Export Firewall Rules","Security & Networking","Export all Windows Firewall rules to CSV for documentation","Yes"
"Windows Server","Pro","ws-defrag-disk","Defragment Disk Volume","Disk Management","Optimize and defragment a disk volume for better performance","Yes"
"Windows Server","Pro","ws-check-disk","Run Disk Check (CHKDSK)","Disk Management","Scan disk volume for errors and bad sectors","Yes"
"Windows Server","Pro","ws-extend-volume","Extend Disk Volume","Disk Management","Expand a disk partition to use available free space","Yes"
"Windows Server","Pro","ws-join-domain","Join Server to Domain","Server Management","Join a Windows Server to an Active Directory domain","Yes"
"Windows Server","Pro","ws-leave-domain","Remove Server from Domain","Server Management","Remove a Windows Server from Active Directory domain and join workgroup","Yes"
"Windows Server","Pro","ws-config-server-backup","Configure Windows Server Backup","Common Admin Tasks","Set up automated backups, schedules","Yes"
"Windows Server","Pro","ws-manage-firewall-advanced","Manage Windows Firewall Rules (Advanced)","Common Admin Tasks","Create inbound/outbound rules, port exceptions","Yes"
"Windows Server","Pro","ws-config-nic-teaming","Configure NIC Teaming","Common Admin Tasks","Create NIC teams for redundancy, load balancing","Yes"
"Windows Server","Pro","ws-manage-storage-spaces","Manage Storage Spaces","Common Admin Tasks","Create storage pools, virtual disks","Yes"
"Windows Server","Pro","ws-config-branchcache","Configure BranchCache","Common Admin Tasks","Enable BranchCache for distributed offices","Yes"
"Windows Server","Pro","ws-manage-wsus-updates","Manage Windows Server Updates (WSUS)","Common Admin Tasks","Approve, deploy, decline updates","Yes"
"VMware vSphere","Pro","vmware-bulk-create-vms","Bulk Create VMs from Template","Bulk Operations","Create multiple VMs from a template with automated configuration","Yes"
"VMware vSphere","Pro","vmware-bulk-snapshot","Bulk Create/Remove Snapshots","Bulk Operations","Create or remove snapshots for multiple VMs","Yes"
"VMware vSphere","Pro","vmware-bulk-move-vms","Bulk Move VMs Between Datastores","Bulk Operations","Migrate VMs to different datastore or cluster","Yes"
"VMware vSphere","Pro","vmware-create-vm","Create New VM","VM Management","Create a new virtual machine with custom configuration","Yes"
"VMware vSphere","Pro","vmware-power-control","VM Power Control","VM Management","Power on, power off, or restart VMs","Yes"
"VMware vSphere","Pro","vmware-export-inventory","Export VM Inventory Report","Reporting","Generate detailed inventory report of all VMs","Yes"
"VMware vSphere","Pro","vmware-configure-resource-pool","Configure Resource Pool","Resource Management","Create and configure resource pools for workload isolation","Yes"
"VMware vSphere","Pro","vmware-manage-datastores","Manage Datastores","Storage Management","Mount, unmount, or expand datastores","Yes"
"VMware vSphere","Pro","vmware-create-template","Create VM Template from Existing VM","Common Admin Tasks","Convert an existing VM into a reusable template","Yes"
"VMware vSphere","Pro","vmware-create-linked-clones","Create Linked Clones from Template","Common Admin Tasks","Create space-efficient linked clone VMs from a template","Yes"
"VMware vSphere","Pro","vmware-manage-snapshots","Manage VM Snapshots (Revert, Consolidate)","Common Admin Tasks","Revert to snapshot or consolidate snapshot files","Yes"
"VMware vSphere","Pro","vmware-configure-vswitches","Configure vSwitches and Distributed Port Groups","Common Admin Tasks","Create and configure virtual switches and port groups","Yes"
"VMware vSphere","Pro","vmware-manage-vcenter-roles","Manage vCenter Roles and Permissions","Common Admin Tasks","Create roles and assign permissions to users","Yes"
"VMware vSphere","Pro","vmware-monitor-host-health","Monitor Host Health and Performance Metrics","Common Admin Tasks","Check ESXi host health status and performance","Yes"
"VMware vSphere","Pro","vmware-configure-vmotion","Configure vMotion and Storage vMotion","Common Admin Tasks","Migrate VMs across hosts and datastores","Yes"
"VMware vSphere","Pro","vmware-manage-tags","Manage vSphere Tags and Categories","Common Admin Tasks","Create tags for organization and automation","Yes"
"VMware vSphere","Pro","vmware-configure-drs","Configure DRS (Distributed Resource Scheduler)","Common Admin Tasks","Enable DRS and set automation levels","Yes"
"VMware vSphere","Pro","vmware-manage-esxi-networking","Manage ESXi Host Networking","Common Admin Tasks","Configure vmkernel adapters and vMotion networks","Yes"
"VMware vSphere","Pro","vmware-configure-vsphere-ha","Configure vSphere HA (High Availability)","Common Admin Tasks","Enable HA and configure admission control","Yes"
"VMware vSphere","Pro","vmware-generate-capacity-reports","Generate vCenter Capacity Reports","Common Admin Tasks","Export resource utilization and capacity planning data","Yes"
"Veeam Backup","Pro","veeam-bulk-enable-jobs","Bulk Enable/Disable Backup Jobs","Bulk Operations","Enable or disable multiple backup jobs at once","Yes"
"Veeam Backup","Pro","veeam-create-backup-job","Create Backup Job","Job Management","Create a new VM backup job","Yes"
"Veeam Backup","Pro","veeam-start-backup-job","Start/Stop Backup Job","Job Management","Manually start or stop a backup job","Yes"
"Veeam Backup","Pro","veeam-restore-vm","Restore VM from Backup","Restore Operations","Restore a virtual machine from backup","Yes"
"Veeam Backup","Pro","veeam-export-job-report","Export Backup Job Report","Reporting","Generate comprehensive backup job report","Yes"
"Veeam Backup","Pro","veeam-restore-files","Restore Files from Backup","Common Admin Tasks","Restore specific files or folders from VM backup","Yes"
"Veeam Backup","Pro","veeam-restore-application-items","Restore Application Items (Exchange, SQL, AD)","Common Admin Tasks","Restore individual items from application backups","Yes"
"Veeam Backup","Pro","veeam-surebackup-verify","Verify Backup Integrity with SureBackup","Common Admin Tasks","Run SureBackup verification to test backup validity","Yes"
"Veeam Backup","Pro","veeam-manage-repositories","Manage Backup Repositories and Proxies","Common Admin Tasks","Add or configure backup repositories and proxy servers","Yes"
"Veeam Backup","Pro","veeam-export-job-report-html","Export Backup Job Reports to CSV/HTML","Common Admin Tasks","Generate backup job reports in CSV or HTML format","Yes"
"Veeam Backup","Pro","veeam-configure-email-notifications","Configure Email Notifications for Jobs","Common Admin Tasks","Set up email alerts for backup job results","Yes"
"Veeam Backup","Pro","veeam-monitor-job-sessions","Monitor Job Sessions and Error Logs","Common Admin Tasks","View active job sessions and recent error logs","Yes"
"Veeam Backup","Pro","veeam-configure-backup-copy","Configure Backup Copy Jobs","Common Admin Tasks","Set up backup copies to secondary repository for 3-2-1 rule","Yes"
"Veeam Backup","Pro","veeam-manage-tape-backup","Manage Tape Backup Jobs","Common Admin Tasks","Create tape jobs, manage media pools, export to tape","Yes"
"Veeam Backup","Pro","veeam-configure-replication","Configure Replication Jobs","Common Admin Tasks","Set up VM replication for DR, configure failover plans","Yes"
"Veeam Backup","Pro","veeam-configure-instant-vm-recovery","Configure Instant VM Recovery","Common Admin Tasks","Restore VMs instantly from backups","Yes"
"Veeam Backup","Pro","veeam-manage-repositories-advanced","Manage Backup Repositories (Advanced)","Common Admin Tasks","Configure scale-out repositories and deduplication","Yes"
"Veeam Backup","Pro","veeam-configure-app-aware-processing","Configure Application-Aware Processing","Common Admin Tasks","Enable app-aware backups for SQL and Exchange","Yes"
"Veeam Backup","Pro","veeam-manage-cloud-connect","Manage Veeam Cloud Connect","Common Admin Tasks","Set up cloud backup targets","Yes"
"Veeam Backup","Pro","veeam-generate-compliance-reports","Generate Backup Compliance Reports","Common Admin Tasks","Export compliance and SLA adherence data","Yes"
"Nutanix AHV","Pro","nutanix-bulk-vm-power","Bulk VM Power Actions","Bulk Operations","Power on, off, or restart multiple VMs","Yes"
"Nutanix AHV","Pro","nutanix-create-vm","Create VM","VM Management","Create a new virtual machine on Nutanix","Yes"
"Nutanix AHV","Pro","nutanix-bulk-snapshot","Bulk Snapshot Creation","Bulk Operations","Create snapshots for multiple VMs","Yes"
"Nutanix AHV","Pro","nutanix-cluster-health","Monitor Cluster Health","Monitoring","Check cluster health and alert status","Yes"
"Nutanix AHV","Pro","nutanix-create-storage-container","Create and Configure Storage Containers","Common Admin Tasks","Create new storage containers with compression and deduplication","Yes"
"Nutanix AHV","Pro","nutanix-configure-protection-policy","Configure Data Protection Policies","Common Admin Tasks","Set up data protection and snapshot schedules","Yes"
"Nutanix AHV","Pro","nutanix-manage-networks","Manage Networks and VLANs","Common Admin Tasks","Create and configure virtual networks with VLAN tags","Yes"
"Nutanix AHV","Pro","nutanix-configure-ipam","Configure IPAM Settings","Common Admin Tasks","Set up IP address management for networks","Yes"
"Nutanix AHV","Pro","nutanix-manage-capacity","Manage Capacity and Deduplication","Common Admin Tasks","View and manage storage capacity with deduplication metrics","Yes"
"Nutanix AHV","Pro","nutanix-export-performance-report","Export Performance Metrics Report","Common Admin Tasks","Generate detailed performance metrics report","Yes"
"Nutanix AHV","Pro","nutanix-manage-vm-network","Manage VM Network Configuration","Common Admin Tasks","Configure network adapters for virtual machines","Yes"
"Nutanix AHV","Pro","nutanix-configure-dr-plans","Configure Disaster Recovery Plans","Common Admin Tasks","Create DR plans, configure recovery points","Yes"
"Nutanix AHV","Pro","nutanix-manage-image-service","Manage Image Service","Common Admin Tasks","Upload ISO images, configure image repositories","Yes"
"Nutanix AHV","Pro","nutanix-configure-prism-central","Configure Prism Central","Common Admin Tasks","Register clusters to Prism Central, multi-cluster management","Yes"
"Nutanix AHV","Pro","nutanix-configure-flow","Configure Nutanix Flow","Common Admin Tasks","Network security and micro-segmentation policies","Yes"
"Nutanix AHV","Pro","nutanix-manage-ads","Manage Acropolis Dynamic Scheduling (ADS)","Common Admin Tasks","Configure workload balancing","Yes"
"Nutanix AHV","Pro","nutanix-configure-files","Configure Nutanix Files","Common Admin Tasks","Set up file services, shares, and quotas","Yes"
"Nutanix AHV","Pro","nutanix-manage-volumes","Manage Nutanix Volumes","Common Admin Tasks","Create iSCSI volumes and volume groups","Yes"
"Nutanix AHV","Pro","nutanix-generate-health-reports","Generate Nutanix Health Reports","Common Admin Tasks","Export cluster health, alerts, and performance","Yes"
"Citrix Virtual Apps","Pro","citrix-bulk-assign-desktops","Bulk Assign Desktops to Users","Bulk Operations","Assign virtual desktops to multiple users","Yes"
"Citrix Virtual Apps","Pro","citrix-create-delivery-group","Create Delivery Group","Delivery Group Management","Create a new desktop delivery group","Yes"
"Citrix Virtual Apps","Pro","citrix-publish-application","Publish Application","Application Publishing","Publish an application to a delivery group","Yes"
"Citrix Virtual Apps","Pro","citrix-manage-sessions","Manage User Sessions","Session Management","Log off, disconnect, or reset user sessions","Yes"
"Citrix Virtual Apps","Pro","citrix-export-license-report","Export License Usage Report","Reporting","Generate license usage and compliance report","Yes"
"Citrix Virtual Apps","Pro","citrix-modify-delivery-group","Create and Modify Delivery Groups","Common Admin Tasks","Create new delivery groups or modify existing ones","Yes"
"Citrix Virtual Apps","Pro","citrix-unpublish-application","Publish or Unpublish Applications","Common Admin Tasks","Publish new applications or unpublish existing ones","Yes"
"Citrix Virtual Apps","Pro","citrix-manage-machine-catalog","Create and Update Machine Catalogs","Common Admin Tasks","Create machine catalogs or update existing ones","Yes"
"Citrix Virtual Apps","Pro","citrix-monitor-user-sessions","Monitor User Sessions and Load Indices","Common Admin Tasks","View active user sessions and server load information","Yes"
"Citrix Virtual Apps","Pro","citrix-backup-configuration","Backup Citrix Configurations","Common Admin Tasks","Export and backup Citrix site configuration","Yes"
"Citrix Virtual Apps","Pro","citrix-manage-app-policies","Manage Application Assignment Policies","Common Admin Tasks","Create and manage application assignment and access policies","Yes"
"Citrix Virtual Apps","Pro","citrix-configure-adc-load-balancing","Configure Citrix ADC Load Balancing","Common Admin Tasks","Set up virtual servers, services, and monitors","Yes"
"Citrix Virtual Apps","Pro","citrix-manage-pvs","Manage Citrix Provisioning Services (PVS)","Common Admin Tasks","Create vDisks and target devices","Yes"
"Citrix Virtual Apps","Pro","citrix-configure-gateway","Configure Citrix Gateway","Common Admin Tasks","Set up remote access and SSL certificates","Yes"
"Citrix Virtual Apps","Pro","citrix-manage-storefront","Manage StoreFront Stores","Common Admin Tasks","Create stores and configure authentication","Yes"
"Citrix Virtual Apps","Pro","citrix-generate-performance-reports","Generate Citrix Performance Reports","Common Admin Tasks","Export session performance and resource usage","Yes"
"PDQ Deploy/Inventory","Pro","pdq-bulk-deploy","Bulk Software Deployment","Bulk Operations","Deploy software packages to multiple computers","Yes"
"PDQ Deploy/Inventory","Pro","pdq-create-package","Create Deployment Package","Package Management","Create a new deployment package","Yes"
"PDQ Deploy/Inventory","Pro","pdq-inventory-scan","Run Inventory Scan","Inventory Management","Scan computers for software and hardware inventory","Yes"
"PDQ Deploy/Inventory","Pro","pdq-export-software-report","Export Software Inventory Report","Reporting","Export installed software report from PDQ Inventory","Yes"
"PDQ Deploy/Inventory","Pro","pdq-edit-package","Edit Deployment Package","Common Admin Tasks","Edit an existing deployment package configuration","Yes"
"PDQ Deploy/Inventory","Pro","pdq-schedule-deployment","Schedule Software Deployments","Common Admin Tasks","Schedule a deployment to run at a specific time","Yes"
"PDQ Deploy/Inventory","Pro","pdq-build-dynamic-collection","Build Dynamic Collections for Patch Compliance","Common Admin Tasks","Create dynamic collections based on patch compliance status","Yes"
"PDQ Deploy/Inventory","Pro","pdq-export-hardware-report","Generate Hardware Inventory Reports","Common Admin Tasks","Export hardware inventory report from PDQ Inventory","Yes"
"PDQ Deploy/Inventory","Pro","pdq-manage-credentials","Manage Deployment Credentials","Common Admin Tasks","Add or update deployment credentials for PDQ","Yes"
"PDQ Deploy/Inventory","Pro","pdq-configure-repository","Configure Repository Paths","Common Admin Tasks","Configure PDQ Deploy repository paths for package storage","Yes"
"PDQ Deploy/Inventory","Pro","pdq-integrate-ad-groups","Integrate PDQ with AD Groups","Common Admin Tasks","Create PDQ collections based on Active Directory groups","Yes"
"PDQ Deploy/Inventory","Pro","pdq-export-compliance-report","Export Compliance Reports to CSV","Common Admin Tasks","Generate and export patch compliance reports","Yes"
"Chocolatey/WinGet","Pro","choco-bulk-install","Bulk Install Packages","Bulk Operations","Install multiple software packages via Chocolatey","Yes"
"Chocolatey/WinGet","Pro","choco-update-all","Update All Packages","Package Management","Update all installed Chocolatey packages","Yes"
"Chocolatey/WinGet","Pro","choco-export-list","Export Installed Packages List","Package Management","Export list of installed packages for backup/migration","Yes"
"Chocolatey/WinGet","Pro","winget-bulk-install","WinGet Bulk Install","Bulk Operations","Install multiple applications using Windows Package Manager","Yes"
"Chocolatey/WinGet","Pro","winget-update-all","WinGet Update All","Package Management","Update all installed applications via WinGet","Yes"
"Chocolatey/WinGet","Pro","choco-search-packages","Search for Available Packages","Common Admin Tasks","Search Chocolatey repository for available packages","Yes"
"Chocolatey/WinGet","Pro","choco-install-package","Install Packages by Name","Common Admin Tasks","Install a specific package with options","Yes"
"Chocolatey/WinGet","Pro","choco-create-private-repo","Create Private Package Repository","Common Admin Tasks","Set up a private Chocolatey repository","Yes"
"Chocolatey/WinGet","Pro","choco-publish-package","Publish Packages to Private Repo","Common Admin Tasks","Publish a Chocolatey package to private repository","Yes"
"Chocolatey/WinGet","Pro","choco-approve-updates","Approve or Deny Package Updates","Common Admin Tasks","Manage package update approvals (requires Chocolatey for Business)","Yes"
"Chocolatey/WinGet","Pro","choco-audit-versions","Audit Installed Software Versions","Common Admin Tasks","Generate audit report of installed Chocolatey packages","Yes"
"Chocolatey/WinGet","Pro","choco-schedule-updates","Schedule Automatic Package Updates","Common Admin Tasks","Create scheduled task for automatic package updates","Yes"
"Chocolatey/WinGet","Pro","choco-verify-integrity","Verify Package Integrity","Common Admin Tasks","Verify integrity of installed Chocolatey packages","Yes"
"ServiceNow","Pro","snow-bulk-create-incidents","Bulk Create Incidents","Bulk Operations","Create multiple incidents from a list","Yes"
"ServiceNow","Pro","snow-query-incidents","Query Incidents","Incident Management","Retrieve and filter incidents","Yes"
"ServiceNow","Pro","snow-update-cmdb","Update CMDB Records","CMDB Management","Update Configuration Management Database records","Yes"
"ServiceNow","Pro","snow-update-incident","Create and Update Incidents","Common Admin Tasks","Update an existing incident in ServiceNow","Yes"
"ServiceNow","Pro","snow-create-service-request","Create Service Requests","Common Admin Tasks","Create a new service request in ServiceNow","Yes"
"ServiceNow","Pro","snow-query-cmdb","Query CMDB Assets and Relationships","Common Admin Tasks","Query CMDB for assets and their relationships","Yes"
"ServiceNow","Pro","snow-ticket-statistics","Retrieve Ticket Statistics by Priority","Common Admin Tasks","Generate ticket statistics report by priority","Yes"
"ServiceNow","Pro","snow-sla-metrics","Retrieve SLA Performance Metrics","Common Admin Tasks","Generate SLA performance and compliance report","Yes"
"ServiceNow","Pro","snow-performance-report","Generate Service Performance Reports","Common Admin Tasks","Generate comprehensive service performance report","Yes"
"ServiceNow","Pro","snow-manage-groups","Manage Groups and Roles","Common Admin Tasks","Create or manage ServiceNow groups and assignments","Yes"
"ServiceNow","Pro","snow-manage-permissions","Manage User Permissions","Common Admin Tasks","Assign or remove user roles and permissions","Yes"
"ServiceNow","Pro","snow-integrate-event-alerts","Integrate ServiceNow with Event Alerts","Common Admin Tasks","Create event monitoring integration for automated alerts","Yes"
"ConnectWise","Pro","cw-bulk-patch-deploy","Bulk Deploy Patches","Bulk Operations","Deploy Windows patches to multiple endpoints","Yes"
"ConnectWise","Pro","cw-query-agents","Query and Manage Agents","Agent Management","Retrieve agent status and information","Yes"
"ConnectWise","Pro","cw-create-ticket","Create Service Ticket","Ticket Management","Create a new service ticket in ConnectWise Manage","Yes"
"ConnectWise","Pro","cw-create-maintenance-window","Create Scheduled Maintenance Windows","Common Admin Tasks","Schedule maintenance windows for computers","Yes"
"ConnectWise","Pro","cw-manage-patch-approvals","Manage Patch Approval Lists","Common Admin Tasks","Create and manage patch approval policies","Yes"
"ConnectWise","Pro","cw-collect-inventory","Collect System Inventory Reports","Common Admin Tasks","Generate comprehensive system inventory reports","Yes"
"ConnectWise","Pro","cw-automate-ticket-alerts","Automate Ticket Creation in Manage","Common Admin Tasks","Automatically create tickets based on monitoring alerts","Yes"
"ConnectWise","Pro","cw-integrate-email-alerts","Integrate Alerts with Email","Common Admin Tasks","Configure email notifications for ConnectWise alerts","Yes"
"ConnectWise","Pro","cw-integrate-teams-alerts","Integrate Alerts with Teams","Common Admin Tasks","Send ConnectWise alerts to Microsoft Teams channel","Yes"
"ConnectWise","Pro","cw-monitor-agent-health","Monitor Agent Health Status","Common Admin Tasks","Monitor and report on ConnectWise agent health","Yes"
"Amazon AWS","Pro","aws-bulk-ec2-control","Bulk EC2 Start/Stop/Reboot","Bulk Operations","Control multiple EC2 instances at once","Yes"
"Amazon AWS","Pro","aws-create-ec2-instance","Create EC2 Instance","EC2 Management","Launch a new EC2 instance","Yes"
"Amazon AWS","Pro","aws-manage-s3-bucket","Manage S3 Bucket","S3 Storage","Create or configure S3 bucket","Yes"
"Amazon AWS","Pro","aws-create-iam-user","Create IAM User","IAM Management","Create IAM user with policy attachment","Yes"
"Amazon AWS","Pro","aws-manage-ec2-instances","Manage EC2 Instances","Common Admin Tasks","Modify, terminate, or describe EC2 instances","Yes"
"Amazon AWS","Pro","aws-s3-lifecycle-policy","Manage S3 Bucket Lifecycle Policies","Common Admin Tasks","Configure lifecycle policies for S3 buckets","Yes"
"Amazon AWS","Pro","aws-configure-iam-groups","Configure IAM Users and Groups","Common Admin Tasks","Create IAM groups and add users","Yes"
"Amazon AWS","Pro","aws-configure-iam-policies","Configure IAM Policies","Common Admin Tasks","Create custom IAM policies","Yes"
"Amazon AWS","Pro","aws-setup-cloudwatch-alarms","Set up CloudWatch Alarms","Common Admin Tasks","Create CloudWatch alarms for monitoring","Yes"
"Amazon AWS","Pro","aws-retrieve-cloudwatch-metrics","Retrieve CloudWatch Metrics","Common Admin Tasks","Get CloudWatch metrics for AWS resources","Yes"
"Amazon AWS","Pro","aws-manage-route53-dns","Manage Route53 DNS Zones","Common Admin Tasks","Create and manage Route53 hosted zones and records","Yes"
"Amazon AWS","Pro","aws-create-modify-vpc","Create and Modify VPCs","Common Admin Tasks","Create and configure Virtual Private Clouds","Yes"
"Amazon AWS","Pro","aws-configure-subnets-security-groups","Configure Subnets and Security Groups","Common Admin Tasks","Create subnets and security groups for VPCs","Yes"
"Amazon AWS","Pro","aws-generate-cost-billing-reports","Generate Cost and Billing Reports","Common Admin Tasks","Retrieve AWS cost and usage data","Yes"
"Amazon AWS","Pro","aws-manage-ec2-snapshots","Manage EC2 Snapshots","Common Admin Tasks","Create and manage EBS volume snapshots","Yes"
"Amazon AWS","Pro","aws-configure-s3-bucket-permissions","Configure S3 Bucket Permissions","Common Admin Tasks","Manage S3 bucket access control and policies","Yes"
"Amazon AWS","Pro","aws-manage-lambda-functions","Manage Lambda Functions","Common Admin Tasks","Create, update, and invoke Lambda functions","Yes"
"Amazon AWS","Pro","aws-configure-rds-instances","Configure RDS Database Instances","Common Admin Tasks","Create RDS instances, configure backups, and manage snapshots","Yes"
"Amazon AWS","Pro","aws-manage-eks-clusters","Manage Elastic Kubernetes Service (EKS)","Common Admin Tasks","Create EKS clusters and manage node groups","Yes"
"Amazon AWS","Pro","aws-configure-systems-manager","Configure AWS Systems Manager","Common Admin Tasks","Run commands, manage parameter store, and patch management","Yes"
"Amazon AWS","Pro","aws-manage-autoscaling-groups","Manage Auto Scaling Groups","Common Admin Tasks","Create ASGs, configure scaling policies and schedules","Yes"
"Amazon AWS","Pro","aws-configure-config-rules","Configure AWS Config Rules","Common Admin Tasks","Set up compliance rules and remediation actions","Yes"
"Amazon AWS","Pro","aws-manage-load-balancers","Manage Elastic Load Balancers","Common Admin Tasks","Create ALB/NLB, configure listeners and target groups","Yes"
"Amazon AWS","Pro","aws-configure-organizations","Configure AWS Organizations","Common Admin Tasks","Manage accounts, organizational units, and service control policies","Yes"
"Amazon AWS","Pro","aws-manage-secrets-manager","Manage AWS Secrets Manager","Common Admin Tasks","Create secrets, enable rotation, and retrieve values","Yes"
"Amazon AWS","Pro","aws-configure-cloudtrail","Configure CloudTrail Logging","Common Admin Tasks","Enable audit logging, create trails, and log insights","Yes"
"Amazon AWS","Pro","aws-configure-rds-snapshot","Configure RDS Automated Snapshots","RDS & Databases","Configure automated backup snapshots for RDS database instances","Yes"
"Amazon AWS","Pro","aws-manage-iam-policies","Create and Attach IAM Policy","IAM & Security","Create custom IAM policy and attach to user, group, or role","Yes"
"Amazon AWS","Pro","aws-configure-vpc-peering","Create VPC Peering Connection","Networking","Create VPC peering connection between two VPCs for private communication","Yes"
"Amazon AWS","Pro","aws-configure-cloudwatch-alarm","Create CloudWatch Alarm","Monitoring & Alerting","Configure CloudWatch alarm for monitoring AWS resources with SNS notifications","Yes"
"Amazon AWS","Pro","aws-manage-elastic-ip","Allocate and Associate Elastic IP","Networking","Allocate Elastic IP address and associate it with EC2 instance","Yes"
"Amazon AWS","Pro","aws-configure-autoscaling-group","Create Auto Scaling Group","EC2 Management","Configure Auto Scaling Group with launch configuration for automatic instance scaling","Yes"
"Amazon AWS","Pro","aws-configure-lambda-function","Create and Deploy Lambda Function","Serverless","Create AWS Lambda function with deployment package and execution role","Yes"
